@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute inputs-26 numeric
@attribute inputs-27 numeric
@attribute inputs-28 numeric
@attribute inputs-29 numeric
@attribute inputs-30 numeric
@attribute inputs-31 numeric
@attribute inputs-32 numeric
@attribute inputs-33 numeric
@attribute inputs-34 numeric
@attribute inputs-35 numeric
@attribute inputs-36 numeric
@attribute inputs-37 numeric
@attribute inputs-38 numeric
@attribute inputs-39 numeric
@attribute inputs-40 numeric
@attribute inputs-41 numeric
@attribute inputs-42 numeric
@attribute inputs-43 numeric
@attribute inputs-44 numeric
@attribute inputs-45 numeric
@attribute inputs-46 numeric
@attribute inputs-47 numeric
@attribute inputs-48 numeric
@attribute inputs-49 numeric
@attribute inputs-50 numeric
@attribute inputs-51 numeric
@attribute inputs-52 numeric
@attribute inputs-53 numeric
@attribute inputs-54 numeric
@attribute inputs-55 numeric
@attribute inputs-56 numeric
@attribute inputs-57 numeric
@attribute inputs-58 numeric
@attribute inputs-59 numeric
@attribute inputs-60 numeric
@attribute inputs-61 numeric
@attribute inputs-62 numeric
@attribute inputs-63 numeric
@attribute inputs-64 numeric
@attribute inputs-65 numeric
@attribute inputs-66 numeric
@attribute inputs-67 numeric
@attribute inputs-68 numeric
@attribute inputs-69 numeric
@attribute inputs-70 numeric
@attribute inputs-71 numeric
@attribute inputs-72 numeric
@attribute inputs-73 numeric
@attribute inputs-74 numeric
@attribute inputs-75 numeric
@attribute inputs-76 numeric
@attribute inputs-77 numeric
@attribute inputs-78 numeric
@attribute inputs-79 numeric
@attribute inputs-80 numeric
@attribute inputs-81 numeric
@attribute inputs-82 numeric
@attribute inputs-83 numeric
@attribute inputs-84 numeric
@attribute inputs-85 numeric
@attribute inputs-86 numeric
@attribute inputs-87 numeric
@attribute inputs-88 numeric
@attribute inputs-89 numeric
@attribute inputs-90 numeric
@attribute inputs-91 numeric
@attribute inputs-92 numeric
@attribute inputs-93 numeric
@attribute inputs-94 numeric
@attribute inputs-95 numeric
@attribute inputs-96 numeric
@attribute inputs-97 numeric
@attribute inputs-98 numeric
@attribute inputs-99 numeric
@attribute inputs-100 numeric
@attribute outputs-1 numeric

@data
133,'2019/09/19 11:01:48:474',2,-8547441,-7957615,-6646383,-6254203,-7435387,-8355978,-7107196,-5395805,-4736586,-4735812,-8943230,-6580846,-4806744,-3428174,-1913904,-3885124,-9078413,-10459296,-12497080,-13222094,-8418428,-8551297,-7959670,-7828339,-7697266,-8618629,-11316408,-8625832,-14672370,-14278892,-7630455,-8486792,-9408147,-8159617,-7699581,-7765116,-8224899,-11250610,-15658491,-12764361,-7302518,-6909298,-7765893,-10203836,-11191758,-10009024,-11583690,-14541035,-15592953,-11851738,-7170933,-7040628,-8819871,-7969706,-8957107,-6132110,-9285044,-14475242,-15067636,-10276299,-7433595,-7303290,-7041657,-7306886,-8097688,-6780794,-6448486,-6447451,-11325905,-10472909,-7761791,-7762560,-7434619,-7040116,-6316647,-5395028,-4341050,-1117194,-8624527,-11195608,-7957371,-7234929,-6840425,-6183007,-7367537,-5064006,-2958372,-1050631,-7100488,-10390918,-7496045,-6970214,-8352379,-12892614,-13947105,-8881290,-2958114,-9733252,-11114909,-12430518,?
134,'2019/09/19 11:01:48:503',2,-8547441,-7892079,-6646383,-6253946,-7435386,-8355978,-7107196,-5395806,-4736586,-4735813,-8943230,-6646638,-4806744,-3428175,-1913904,-3884868,-9078412,-10459296,-12497080,-13222093,-8418428,-8616833,-8025206,-7828339,-7697267,-8618628,-11316408,-8625832,-14672370,-14278892,-7630455,-8486792,-9408147,-8159618,-7699580,-7699580,-8159619,-11250610,-15658491,-12764361,-7302518,-6974578,-7765893,-10203837,-11191758,-9943488,-11583690,-14541035,-15592953,-11851483,-7170933,-7040629,-8819871,-7969706,-8957107,-6132111,-9285044,-14540778,-15067636,-10341835,-7433594,-7303290,-7041657,-7306886,-8097688,-6780794,-6448486,-6447451,-11325905,-10472909,-7761791,-7762560,-7434620,-7040116,-6251111,-5329492,-4341050,-1116938,-8690063,-11195608,-7957371,-7300465,-6774890,-6183007,-7433074,-4998214,-2958627,-1050888,-7100745,-10390918,-7496045,-6970214,-8352378,-12892614,-13947105,-8881291,-3023906,-9798788,-11180445,-12430518,?
135,'2019/09/19 11:01:48:537',2,-8612976,-7957871,-6581103,-6253947,-7435386,-8421515,-7172990,-5461599,-4736587,-4735813,-8943230,-6646638,-4806745,-3428174,-1913904,-3819076,-9012619,-10393504,-12431543,-13156557,-8352892,-8551298,-8025206,-7828339,-7697266,-8618373,-11316408,-8691368,-14672369,-14278892,-7630455,-8486792,-9408147,-8159618,-7765116,-7699580,-8159363,-11250610,-15658491,-12764617,-7302518,-6974834,-7765893,-10203836,-11191757,-10009024,-11583690,-14541036,-15592953,-11851738,-7170933,-7040628,-8819871,-7969706,-8957107,-6132367,-9285044,-14475242,-15133172,-10341835,-7433595,-7303290,-7041657,-7306886,-8163224,-6780794,-6514021,-6447451,-11391441,-10538445,-7761791,-7762561,-7434619,-7040116,-6251111,-5395028,-4341050,-1117194,-8690062,-11195608,-7957371,-7234929,-6775146,-6183007,-7433330,-5064006,-2958628,-1050888,-7100744,-10390918,-7496046,-6970214,-8286585,-12892357,-14012641,-8881291,-3023907,-9798788,-11180446,-12430774,?
136,'2019/09/19 11:01:48:569',2,-8547441,-8023408,-6712176,-6319739,-7501180,-8487308,-7238783,-5527392,-4802380,-4801606,-8943230,-6646638,-4806745,-3428174,-1848368,-3688002,-8881034,-10327710,-12365750,-13090764,-8352637,-8551297,-8025207,-7828595,-7697266,-8618372,-11316663,-8691624,-14672369,-14344172,-7630455,-8486791,-9408147,-8159618,-7699580,-7699580,-8159363,-11250609,-15658491,-12830153,-7302518,-6974578,-7765892,-10203837,-11191501,-10009024,-11583690,-14541035,-15592953,-11851483,-7170934,-7040628,-8819871,-7969706,-8957108,-6197903,-9350837,-14475242,-15133428,-10341836,-7433595,-7303290,-7041401,-7306885,-8097688,-6780794,-6448486,-6447451,-11391442,-10538446,-7827327,-7762560,-7434620,-7040116,-6316647,-5329492,-4341050,-1117194,-8755599,-11261145,-7957371,-7300465,-6774890,-6183007,-7433330,-5064006,-2958628,-1116424,-7100745,-10390919,-7496045,-6970213,-8220793,-12826565,-14012642,-8947084,-3089699,-9798789,-11180702,-12430518,?
137,'2019/09/19 11:01:48:602',2,-8612976,-8023408,-6777969,-6451325,-7632509,-8553101,-7370113,-5593442,-4868173,-4801863,-8943230,-6580846,-4741208,-3362638,-1848368,-3621953,-8749703,-10196125,-12299957,-13024714,-8418428,-8551297,-8025206,-7828339,-7631473,-8618372,-11316664,-8691624,-14672369,-14344428,-7630455,-8486792,-9473682,-8159618,-7699581,-7765117,-8159362,-11250610,-15658491,-12830154,-7302518,-6974578,-7765893,-10203836,-11191502,-9943488,-11583690,-14541036,-15592953,-11851738,-7170933,-7040629,-8885407,-7969707,-8957364,-6197903,-9350837,-14540778,-15133173,-10341836,-7433595,-7303290,-7041657,-7306886,-8163224,-6780794,-6514022,-6447451,-11391442,-10603982,-7761791,-7762560,-7434620,-7040116,-6251111,-5329492,-4341050,-1051658,-8755600,-11326681,-7891834,-7300465,-6774890,-6183007,-7367537,-5064007,-2958627,-1116424,-7100745,-10391174,-7496045,-6970214,-8220793,-12761028,-14012898,-9012877,-3155493,-9799045,-11246239,-12430519,?
138,'2019/09/19 11:01:48:636',2,-8547441,-8154480,-6909299,-6648448,-7829631,-8684686,-7567234,-5725028,-4934223,-4867399,-8943230,-6515309,-4675672,-3296846,-1782832,-3490624,-8486788,-10064539,-12168372,-12958921,-8418428,-8551297,-7959670,-7697010,-7500144,-8618372,-11251127,-8626088,-14672370,-14344429,-7630455,-8486791,-9408146,-8159617,-7699580,-7765116,-8159362,-11250610,-15658491,-12830154,-7302518,-6974834,-7765893,-10203836,-11191501,-9943488,-11583690,-14541035,-15592953,-11917275,-7170933,-7040628,-8885407,-7969707,-9022900,-6197904,-9350837,-14540778,-15133429,-10407628,-7433595,-7303290,-7041657,-7306886,-8163224,-6780794,-6448485,-6447450,-11456978,-10669774,-7761791,-7762561,-7434620,-7040116,-6316647,-5329492,-4341050,-1116938,-8755599,-11326682,-7891835,-7300465,-6840426,-6183007,-7367281,-5064007,-2958627,-1116424,-7100745,-10390918,-7496046,-6970469,-8154999,-12826564,-14012899,-9078927,-3221543,-9864582,-11312032,-12430775,?
139,'2019/09/19 11:01:48:669',2,-8547697,-8220017,-7106421,-6911363,-8092547,-8881808,-7699077,-5922407,-5065810,-4933193,-8943230,-6449773,-4609880,-3296845,-1782576,-3359295,-8223616,-9867416,-12036785,-12827334,-8352892,-8551297,-7959671,-7565937,-7368558,-8487043,-11316408,-8691368,-14672369,-14344429,-7630455,-8486791,-9408147,-8159618,-7699581,-7699580,-8159618,-11250609,-15658491,-12830154,-7302518,-6974834,-7765636,-10203836,-11191502,-10009024,-11583690,-14541036,-15592953,-11851740,-7170934,-7040629,-8885407,-7969707,-9022900,-6197904,-9350837,-14475242,-15133429,-10407629,-7433594,-7303290,-7041657,-7306630,-8163224,-6780793,-6514022,-6381914,-11457234,-10669775,-7761791,-7762561,-7434620,-7040116,-6316647,-5329492,-4341050,-1117194,-8689807,-11392474,-7891835,-7300465,-6775146,-6183007,-7367281,-5129800,-2958628,-1182217,-7100746,-10390918,-7496045,-6970213,-8089207,-12826308,-14078691,-9276050,-3418665,-9864581,-11312033,-12430775,?
140,'2019/09/19 11:01:48:703',2,-8547696,-8351345,-7369335,-7305607,-8421255,-9078931,-7961736,-6185323,-5197653,-4999243,-8943230,-6383980,-4478551,-3165516,-1717039,-3227966,-7829115,-9604244,-11773870,-12629955,-8418428,-8551297,-7959670,-7434608,-7105900,-8421250,-11316407,-8691368,-14672369,-14344429,-7630455,-8486792,-9408147,-8159617,-7699580,-7764860,-8159363,-11250610,-15658491,-12830154,-7302262,-6974834,-7765892,-10203836,-11191502,-9943488,-11583690,-14606572,-15592953,-11851739,-7170934,-6975093,-8819871,-7969706,-9022644,-6197904,-9350837,-14540778,-15133429,-10407629,-7433595,-7303290,-7041657,-7306886,-8097688,-6780793,-6448485,-6381915,-11457235,-10735568,-7761791,-7762561,-7500155,-7040115,-6251111,-5329492,-4341050,-1116938,-8755599,-11392475,-7891834,-7234929,-6775145,-6183007,-7301744,-5195592,-2958627,-1182217,-7166538,-10390918,-7496045,-6970469,-8088950,-12826308,-14078692,-9407637,-3550251,-9864838,-11312290,-12430775,?
141,'2019/09/19 11:01:48:735',2,-8547441,-8416882,-7697787,-7700108,-8815500,-9341589,-8224651,-6448239,-5329241,-5065037,-8943230,-6318444,-4281429,-3099467,-1717039,-3162430,-7500406,-9275792,-11576491,-12432576,-8352892,-8419969,-7894134,-7303279,-6908777,-8355456,-11250871,-8691624,-14672369,-14344429,-7630455,-8486792,-9408147,-8159618,-7699581,-7699580,-8159363,-11250610,-15658491,-12830154,-7302262,-6974578,-7765892,-10203836,-11191758,-10009025,-11583690,-14606572,-15592954,-11917275,-7170934,-7040629,-8819871,-7969706,-8957364,-6197904,-9350837,-14541034,-15133429,-10473165,-7433595,-7303290,-7041657,-7306886,-8163224,-6780793,-6448485,-6381915,-11457235,-10735568,-7761791,-7762561,-7434619,-7040116,-6316647,-5329492,-4341050,-1116938,-8821136,-11458011,-7891835,-7300465,-6774890,-6183007,-7367281,-5195593,-2958628,-1248010,-7166539,-10456454,-7496046,-6970213,-8023413,-12826564,-14078692,-9539479,-3682094,-9930375,-11378083,-12430776,?
142,'2019/09/19 11:01:48:769',2,-8547697,-8548211,-8091775,-8160146,-9210001,-9538712,-8422030,-6645619,-5461084,-5131086,-8943230,-6252651,-4084563,-3033673,-1782575,-3096894,-7171698,-9078156,-11379367,-12235453,-8418172,-8419968,-7762806,-7040879,-6580326,-8158334,-11250871,-8691368,-14672370,-14344429,-7695991,-8486792,-9408147,-8159362,-7699580,-7699580,-8159363,-11250611,-15658491,-12895690,-7302262,-6974834,-7765893,-10203836,-11191758,-10009025,-11583690,-14606828,-15592954,-11851739,-7236469,-7040629,-8885408,-7969706,-8957108,-6197904,-9416373,-14541035,-15133429,-10473165,-7433594,-7303290,-7041657,-7306886,-8163224,-6780793,-6514021,-6381914,-11522771,-10801104,-7761791,-7762561,-7434620,-7040116,-6316647,-5329492,-4341050,-1116938,-8821136,-11458011,-7891835,-7300465,-6840426,-6183007,-7433074,-5261386,-2958371,-1313802,-7232075,-10456454,-7496045,-6970214,-8023157,-12826563,-14144228,-9671322,-3879473,-9930375,-11443876,-12496312,?
